DateTime,CO(GT),PT08.S1(CO),T,RH,AH,Residual_Anomaly,IsolationForest_Anomaly,LOF_Anomaly,Hour,DayOfWeek,Month,IsWeekend,Season,Consensus_Anomaly,Pollution_Spike
2004-03-11 18:00:00,4.8,1581.0,10.3,64.2,0.8065,False,False,False,18,3,3,False,2,False,False
2004-03-11 19:00:00,6.9,1776.0,9.7,69.3,0.8319,False,True,False,19,3,3,False,2,True,True
2004-03-11 20:00:00,6.1,1640.0,9.6,67.8,0.8133,False,False,False,20,3,3,False,2,False,True
2004-03-11 21:00:00,3.9,1313.0,9.1,64.0,0.7419,False,False,False,21,3,3,False,2,False,False
2004-03-11 22:00:00,1.5,965.0,8.2,63.4,0.6905,False,False,False,22,3,3,False,2,False,False
2004-03-11 23:00:00,1.0,913.0,8.2,60.8,0.6657,False,False,False,23,3,3,False,2,False,False
2004-03-12 00:00:00,1.7,1080.0,8.3,58.5,0.6438,False,False,False,0,4,3,False,2,False,False
2004-03-12 01:00:00,1.9,1044.0,7.7,59.7,0.6308,False,False,False,1,4,3,False,2,False,False
2004-03-12 02:00:00,1.4,988.0,7.1,61.8,0.6276,False,False,False,2,4,3,False,2,False,False
2004-03-12 03:00:00,0.8,889.0,7.0,62.3,0.6261,False,False,False,3,4,3,False,2,False,False
2004-03-12 04:00:00,0.7,831.0,6.1,65.9,0.6248,False,False,False,4,4,3,False,2,False,False
2004-03-12 05:00:00,0.6,847.0,6.3,65.0,0.6233,False,False,False,5,4,3,False,2,False,False
2004-03-12 06:00:00,0.8,927.0,6.8,62.9,0.6234,False,False,False,6,4,3,False,2,False,False
2004-03-12 07:00:00,1.4,1091.0,6.4,65.1,0.6316,False,False,False,7,4,3,False,2,False,False
2004-03-12 08:00:00,4.4,1587.0,7.3,63.1,0.6499,False,False,False,8,4,3,False,2,False,False
2004-03-12 09:00:00,3.75,1545.0,9.2,56.2,0.6561,False,False,False,9,4,3,False,2,False,False
2004-03-12 10:00:00,3.1,1350.0,13.2,41.7,0.632,False,False,False,10,4,3,False,2,False,False
2004-03-12 11:00:00,2.7,1263.0,14.3,38.4,0.6243,False,False,False,11,4,3,False,2,False,False
2004-03-12 12:00:00,2.1,1206.0,15.0,36.5,0.6195,False,False,False,12,4,3,False,2,False,False
2004-03-12 13:00:00,2.5,1252.0,16.1,34.5,0.6262,False,False,False,13,4,3,False,2,False,False
2004-03-12 14:00:00,2.7,1287.0,16.3,35.7,0.656,False,False,False,14,4,3,False,2,False,False
2004-03-12 15:00:00,2.9,1353.0,15.8,37.0,0.661,False,False,False,15,4,3,False,2,False,False
2004-03-12 16:00:00,2.8,1309.0,15.9,37.2,0.6657,False,False,False,16,4,3,False,2,False,False
2004-03-12 17:00:00,2.4,1274.0,16.9,34.3,0.6549,False,False,False,17,4,3,False,2,False,False
2004-03-12 18:00:00,3.9,1510.0,15.1,39.6,0.6766,False,False,False,18,4,3,False,2,False,False
2004-03-12 19:00:00,3.7,1525.0,14.4,43.4,0.7084,False,False,False,19,4,3,False,2,False,False
2004-03-12 20:00:00,6.6,1843.0,12.9,50.5,0.7478,False,True,False,20,4,3,False,2,True,True
2004-03-12 21:00:00,4.4,1598.0,12.1,53.3,0.7536,False,False,False,21,4,3,False,2,False,False
2004-03-12 22:00:00,3.5,1484.0,11.0,59.1,0.774,False,False,False,22,4,3,False,2,False,False
2004-03-12 23:00:00,5.4,1677.0,9.7,64.6,0.7771,False,False,False,23,4,3,False,2,False,True
2004-03-13 00:00:00,2.7,1280.0,9.5,64.1,0.7597,False,False,False,0,5,3,True,2,False,False
2004-03-13 01:00:00,1.9,1196.0,9.1,63.9,0.7423,False,False,False,1,5,3,True,2,False,False
2004-03-13 02:00:00,1.6,1184.0,8.8,63.9,0.7256,False,False,False,2,5,3,True,2,False,False
2004-03-13 03:00:00,1.7,1172.0,7.8,67.5,0.7173,False,False,False,3,5,3,True,2,False,False
2004-03-13 04:00:00,1.35,1147.0,7.0,71.1,0.7158,False,False,False,4,5,3,True,2,False,False
2004-03-13 05:00:00,1.0,978.0,8.3,63.6,0.6982,False,False,False,5,5,3,True,2,False,False
2004-03-13 06:00:00,1.2,1100.0,7.2,67.5,0.6887,False,False,False,6,5,3,True,2,False,False
2004-03-13 07:00:00,1.5,1112.0,6.3,71.9,0.6932,False,False,False,7,5,3,True,2,False,False
2004-03-13 08:00:00,2.7,1336.0,6.5,71.6,0.6945,False,False,False,8,5,3,True,2,False,False
2004-03-13 09:00:00,3.7,1408.0,9.6,59.7,0.7124,False,False,False,9,5,3,True,2,False,False
2004-03-13 10:00:00,3.2,1447.0,12.4,51.2,0.7335,False,False,False,10,5,3,True,2,False,False
2004-03-13 11:00:00,4.1,1542.0,15.6,42.2,0.7451,False,False,False,11,5,3,True,2,False,False
2004-03-13 12:00:00,3.6,1451.0,18.4,33.8,0.709,False,False,False,12,5,3,True,2,False,False
2004-03-13 13:00:00,2.8,1328.0,19.4,31.3,0.695,False,False,False,13,5,3,True,2,False,False
2004-03-13 14:00:00,2.0,1207.0,18.0,34.8,0.7127,False,False,False,14,5,3,True,2,False,False
2004-03-13 15:00:00,2.0,1240.0,18.4,33.6,0.7042,False,False,False,15,5,3,True,2,False,False
