DateTime,NO2(GT),PT08.S4(NO2),T,RH,AH,IsolationForest_Anomaly,LOF_Anomaly,Consensus_Anomaly,Hour,DayOfWeek,Month,IsWeekend,Season,Pollution_Spike
2004-03-11 18:00:00,151.0,2083.0,10.3,64.2,0.8065,False,False,False,18,3,3,False,2,False
2004-03-11 19:00:00,172.0,2333.0,9.7,69.3,0.8319,False,True,True,19,3,3,False,2,False
2004-03-11 20:00:00,165.0,2191.0,9.6,67.8,0.8133,False,True,True,20,3,3,False,2,False
2004-03-11 21:00:00,136.0,1707.0,9.1,64.0,0.7419,False,False,False,21,3,3,False,2,False
2004-03-11 22:00:00,85.0,1333.0,8.2,63.4,0.6905,False,False,False,22,3,3,False,2,False
2004-03-11 23:00:00,53.0,1252.0,8.2,60.8,0.6657,False,False,False,23,3,3,False,2,False
2004-03-12 00:00:00,97.0,1375.0,8.3,58.5,0.6438,False,False,False,0,4,3,False,2,False
2004-03-12 01:00:00,110.0,1378.0,7.7,59.7,0.6308,False,False,False,1,4,3,False,2,False
2004-03-12 02:00:00,91.0,1304.0,7.1,61.8,0.6276,False,False,False,2,4,3,False,2,False
2004-03-12 03:00:00,61.5,1187.0,7.0,62.3,0.6261,False,False,False,3,4,3,False,2,False
2004-03-12 04:00:00,32.0,1134.0,6.1,65.9,0.6248,False,True,True,4,4,3,False,2,False
2004-03-12 05:00:00,44.0,1155.0,6.3,65.0,0.6233,False,True,True,5,4,3,False,2,False
2004-03-12 06:00:00,71.0,1223.0,6.8,62.9,0.6234,False,False,False,6,4,3,False,2,False
2004-03-12 07:00:00,104.0,1361.0,6.4,65.1,0.6316,False,False,False,7,4,3,False,2,False
2004-03-12 08:00:00,141.0,1900.0,7.3,63.1,0.6499,False,True,True,8,4,3,False,2,False
2004-03-12 09:00:00,131.5,2058.0,9.2,56.2,0.6561,False,False,False,9,4,3,False,2,False
2004-03-12 10:00:00,122.0,1712.0,13.2,41.7,0.632,False,False,False,10,4,3,False,2,False
2004-03-12 11:00:00,143.0,1598.0,14.3,38.4,0.6243,False,False,False,11,4,3,False,2,False
2004-03-12 12:00:00,113.0,1537.0,15.0,36.5,0.6195,False,False,False,12,4,3,False,2,False
2004-03-12 13:00:00,116.0,1593.0,16.1,34.5,0.6262,False,False,False,13,4,3,False,2,False
2004-03-12 14:00:00,123.0,1660.0,16.3,35.7,0.656,False,False,False,14,4,3,False,2,False
2004-03-12 15:00:00,126.0,1740.0,15.8,37.0,0.661,False,False,False,15,4,3,False,2,False
2004-03-12 16:00:00,120.0,1657.0,15.9,37.2,0.6657,False,False,False,16,4,3,False,2,False
2004-03-12 17:00:00,119.0,1610.0,16.9,34.3,0.6549,False,False,False,17,4,3,False,2,False
2004-03-12 18:00:00,149.0,1910.0,15.1,39.6,0.6766,False,False,False,18,4,3,False,2,False
2004-03-12 19:00:00,145.0,1847.0,14.4,43.4,0.7084,False,False,False,19,4,3,False,2,False
2004-03-12 20:00:00,170.0,2390.0,12.9,50.5,0.7478,False,True,True,20,4,3,False,2,False
2004-03-12 21:00:00,149.0,1941.0,12.1,53.3,0.7536,False,False,False,21,4,3,False,2,False
2004-03-12 22:00:00,139.0,1723.0,11.0,59.1,0.774,False,False,False,22,4,3,False,2,False
2004-03-12 23:00:00,134.0,2062.0,9.7,64.6,0.7771,False,False,False,23,4,3,False,2,False
2004-03-13 00:00:00,113.0,1544.0,9.5,64.1,0.7597,False,False,False,0,5,3,True,2,False
2004-03-13 01:00:00,97.0,1463.0,9.1,63.9,0.7423,False,False,False,1,5,3,True,2,False
2004-03-13 02:00:00,82.0,1365.0,8.8,63.9,0.7256,False,False,False,2,5,3,True,2,False
2004-03-13 03:00:00,82.5,1380.0,7.8,67.5,0.7173,False,False,False,3,5,3,True,2,False
2004-03-13 04:00:00,83.0,1412.0,7.0,71.1,0.7158,False,False,False,4,5,3,True,2,False
2004-03-13 05:00:00,65.0,1274.0,8.3,63.6,0.6982,False,False,False,5,5,3,True,2,False
2004-03-13 06:00:00,60.0,1268.0,7.2,67.5,0.6887,False,False,False,6,5,3,True,2,False
2004-03-13 07:00:00,77.0,1409.0,6.3,71.9,0.6932,False,False,False,7,5,3,True,2,False
2004-03-13 08:00:00,96.0,1678.0,6.5,71.6,0.6945,False,True,True,8,5,3,True,2,False
2004-03-13 09:00:00,119.0,1777.0,9.6,59.7,0.7124,False,False,False,9,5,3,True,2,False
2004-03-13 10:00:00,126.0,1667.0,12.4,51.2,0.7335,False,False,False,10,5,3,True,2,False
2004-03-13 11:00:00,158.0,1780.0,15.6,42.2,0.7451,False,False,False,11,5,3,True,2,False
2004-03-13 12:00:00,161.0,1679.0,18.4,33.8,0.709,False,True,True,12,5,3,True,2,False
