h,config,model,cleaning,train_n,train_n_after_clean,removed_train_anomalies,Accuracy,Macro-F1,Macro-Recall
1,daily,LogReg,off,251.0,251.0,0.0,0.6344086021505376,0.49521285991874225,0.49972632731253414
1,daily,LogReg,on(provided),251.0,201.0,50.0,0.6129032258064516,0.38175102326045723,0.3954426295624118
1,full,LogReg,off,5982.0,5982.0,0.0,0.7269058295964126,0.7207746130465852,0.740578367633776
1,full,LogReg,on(provided),5982.0,4725.0,1257.0,0.6748878923766816,0.6808298400601878,0.7037000279118871
1,hourly,LogReg,off,6566.0,6566.0,0.0,0.747085201793722,0.7372706643156022,0.7539076241262354
1,hourly,LogReg,on(provided),6566.0,5191.0,1375.0,0.7618834080717489,0.7467013014438398,0.7517581700929478
1,no_fe,LogReg,off,6578.0,6578.0,0.0,0.7605381165919283,0.73066806451445,0.7268347514991303
1,no_fe,LogReg,on(provided),6578.0,6404.0,174.0,0.7654708520179372,0.7356590009357761,0.7323584967651992
1,N/A,Naive,N/A,,,,0.7704035874439462,0.7427258902875998,0.7427258902875998
1,daily,RF,off,251.0,251.0,0.0,0.6451612903225806,0.5017422529591701,0.5055742805289084
1,daily,RF,on(provided),251.0,201.0,50.0,0.6989247311827957,0.45779645191409896,0.47610405323653965
1,full,RF,off,5982.0,5982.0,0.0,0.8085201793721973,0.7863152038649215,0.7917534993045349
1,full,RF,on(provided),5982.0,4725.0,1257.0,0.794170403587444,0.7720994954734653,0.7727890052817177
1,hourly,RF,off,6566.0,6566.0,0.0,0.8004484304932735,0.7779520601809423,0.7823671885253978
1,hourly,RF,on(provided),6566.0,5191.0,1375.0,0.7905829596412556,0.7661244662239498,0.7691641514110209
1,no_fe,RF,off,6578.0,6578.0,0.0,0.784304932735426,0.7547997226379956,0.7576206168717694
1,no_fe,RF,on(provided),6578.0,6404.0,174.0,0.784304932735426,0.7538498812054599,0.7573036247273225
6,daily,LogReg,off,251.0,251.0,0.0,0.7849462365591398,0.3495514147688061,0.43560606060606055
6,daily,LogReg,on(provided),251.0,201.0,50.0,0.5591397849462365,0.2897158863545418,0.5151515151515151
6,full,LogReg,off,5977.0,5977.0,0.0,0.4952808988764045,0.5053324840079981,0.5492757931064512
6,full,LogReg,on(provided),5977.0,4725.0,1252.0,0.3707865168539326,0.36037806794301747,0.4640919549578129
6,hourly,LogReg,off,6561.0,6561.0,0.0,0.4449438202247191,0.4070764125874919,0.4712167456799848
6,hourly,LogReg,on(provided),6561.0,5191.0,1370.0,0.4278651685393258,0.42885588069456276,0.47491885456173905
6,no_fe,LogReg,off,6573.0,6573.0,0.0,0.4669662921348315,0.3582441878604988,0.45525435083881494
6,no_fe,LogReg,on(provided),6573.0,6399.0,174.0,0.461123595505618,0.35467376351905844,0.452350327997416
6,N/A,Naive,N/A,,,,0.42112359550561795,0.38094592235888447,0.38094055790152215
6,daily,RF,off,251.0,251.0,0.0,0.946236559139785,0.3241252302025783,0.3333333333333333
6,daily,RF,on(provided),251.0,201.0,50.0,0.946236559139785,0.4351334574798262,0.4128787878787879
6,full,RF,off,5977.0,5977.0,0.0,0.7101123595505618,0.672070422296235,0.6806414037585662
6,full,RF,on(provided),5977.0,4725.0,1252.0,0.7119101123595506,0.6714842586874247,0.6710093307296678
6,hourly,RF,off,6561.0,6561.0,0.0,0.6386516853932585,0.590984008949194,0.6060021210719295
6,hourly,RF,on(provided),6561.0,5191.0,1370.0,0.6256179775280899,0.6017827725182209,0.6036337232054052
6,no_fe,RF,off,6573.0,6573.0,0.0,0.6157303370786517,0.575710124806747,0.5884616193770495
