h,model,Accuracy,Macro-F1,Macro-Recall
1,LogReg,0.742152466367713,0.7367943391811672,0.7510574827545083
1,RF,0.804932735426009,0.7797741057567676,0.7835041742083719
1,XGB,0.8022421524663678,0.7791155534200197,0.7843634722860559
6,LogReg,0.6,0.6028757364789227,0.6222272257955622
6,RF,0.7015730337078652,0.6429633160648639,0.659343236434902
6,XGB,0.7240449438202248,0.6863295426181613,0.6954488365902827
12,LogReg,0.5074357818837314,0.489354648603005,0.5279240388367635
12,RF,0.6647138350608383,0.6174517408571264,0.6320145350089289
12,XGB,0.6840919333032898,0.6412192201209642,0.6519739391175006
24,LogReg,0.5061169007702764,0.4989577361149164,0.5297599124779725
24,RF,0.5727231536021749,0.5117786276020616,0.5417037098904635
24,XGB,0.5681921159945628,0.526986327613921,0.5473179365506545
