h,fe_type,model,Accuracy,Macro-F1,Macro-Recall
1,daily,LogReg,0.06451612903225812,0.020112810579342055,0.012502520669489814
1,daily,RF,-0.032258064516129004,-0.017493168710085827,-0.011897559991933815
1,daily,XGB,-0.06451612903225812,-0.05833324093715608,-0.0407340189554346
1,hourly,LogReg,-0.0017937219730941312,-0.004733815849282674,-0.004162700223884874
1,hourly,RF,0.0004484304932734773,0.0028662844750029226,0.0027456424141938385
1,hourly,XGB,0.0008968609865470656,0.0016452272757604414,0.001977196537002901
1,merge,LogReg,-0.032735426008968616,-0.0420461538095499,-0.03786361955443063
1,merge,RF,0.0008968609865470656,0.00166769009862211,0.0011367121399600277
1,merge,XGB,-0.0017937219730941312,-0.0023816878622637816,-0.0023766743339943552
6,daily,LogReg,0.021505376344086002,0.00962315299471872,0.0075757575757576245
6,daily,RF,0.0,0.0,0.0
6,daily,XGB,0.021505376344086113,0.0038272786197104947,0.007575757575757569
6,hourly,LogReg,0.002696629213483126,0.005872089650046486,0.004415801400969588
6,hourly,RF,0.008539325842696677,0.007859577622720937,0.006446822008307707
6,hourly,XGB,0.013932584269662929,0.020374435342821018,0.012614220688964783
6,merge,LogReg,0.061573033707865155,0.054462038857612916,0.03425318743373973
6,merge,RF,-0.001348314606741674,-0.013496986205921102,-0.010399134933913423
6,merge,XGB,0.007640449438202301,0.002163516899652329,0.005446412481551088
12,daily,LogReg,0.0,0.020296080792447935,0.012493354598617668
12,daily,RF,-0.053763440860215006,-0.05875574047617055,-0.04784688995215314
12,daily,XGB,-0.010752688172043001,-0.010688509201200902,-0.00877192982456143
12,hourly,LogReg,0.0009013068949977332,0.0030655051866333993,0.0027342884578525073
12,hourly,RF,-0.004957187922487671,-0.0036227349709813117,-0.003415198565951627
12,hourly,XGB,0.005407841369986399,0.00525341800023138,0.0008447769959047946
12,merge,LogReg,0.00045065344749894987,-0.00510098009274873,-0.0034193030181020045
12,merge,RF,-0.003154574132492094,-0.0025482053773207003,-0.00033648937948194124
12,merge,XGB,-0.01036502929247407,-0.014092321363477045,-0.010563505702745224
24,daily,LogReg,0.0,0.0007806826434277325,0.0
24,daily,RF,-0.054347826086956486,-0.026629756841975938,-0.015075051759834368
24,daily,XGB,0.043478260869565244,0.120148592241062,0.1322463768115943
24,hourly,LogReg,0.004077933846850956,-0.0019668591476720287,0.004138890693360542
24,hourly,RF,-0.014499320344358857,-0.007838938020307884,-0.009007561251499041
24,hourly,XGB,0.004077933846850956,0.0021429999728486138,0.004591555279213511
24,merge,LogReg,-0.000906207521522373,-0.00019635022420627646,0.0012928265552225593
24,merge,RF,-0.025373810602628,-0.020498155698452702,-0.01779837968763054
24,merge,XGB,-0.004984141368373329,-0.004243165079016231,-0.002120975899477684
