h,fe_type,Accuracy,Macro-F1,Macro-Recall
1,daily,0.6630824372759857,0.5291942371843598,0.5375219658341255
1,hourly,0.7849028400597907,0.7647671158747994,0.7728683088092995
1,merge,0.7687593423019431,0.7503790070445798,0.761455956105236
6,daily,0.899641577060932,0.3358083427228938,0.369949494949495
6,hourly,0.5704868913857678,0.5324226254826188,0.5612702472111221
6,merge,0.6644194756554307,0.6365206560828415,0.6510710045369796
12,daily,0.5376344086021505,0.5334002178578422,0.5845295055821372
12,hourly,0.562415502478594,0.5297748337904528,0.5530606514193389
12,merge,0.6252065494967703,0.5976205220704395,0.6158785121862236
24,daily,0.5108695652173914,0.39955837253813464,0.4421799516908213
24,hourly,0.5576196949101344,0.5073491789129975,0.5440761775723774
24,merge,0.5627548708654282,0.5313749429601348,0.5515921110564613
