h,fe_type,data_ver,model,train_n,train_n_eff,clean_removed,Accuracy,Macro-F1,Macro-Recall
1,daily,cleaned,LogReg,251.0,251.0,0.0,0.6989247311827957,0.5153256704980843,0.512228847982024
1,daily,orig,LogReg,251.0,251.0,0.0,0.6344086021505376,0.49521285991874225,0.49972632731253414
1,hourly,cleaned,LogReg,6390.0,6390.0,176.0,0.7591928251121076,0.7441733942941214,0.7574466324625165
1,hourly,orig,LogReg,6566.0,6566.0,0.0,0.7609865470852017,0.7489072101434041,0.7616093326864014
1,merge,cleaned,LogReg,5821.0,5821.0,161.0,0.6914798206278027,0.679670087131615,0.7029871554755439
1,merge,orig,LogReg,5982.0,5982.0,0.0,0.7242152466367713,0.7217162409411649,0.7408507750299745
1,N/A,N/A,Naive,,,,0.7704035874439462,0.7427258902875998,0.7427258902875998
1,daily,cleaned,RF,251.0,251.0,0.0,0.6129032258064516,0.48424908424908425,0.4936767205369746
1,daily,orig,RF,251.0,251.0,0.0,0.6451612903225806,0.5017422529591701,0.5055742805289084
1,hourly,cleaned,RF,6390.0,6390.0,176.0,0.7991031390134529,0.7766856550611324,0.7813595030332411
1,hourly,orig,RF,6566.0,6566.0,0.0,0.7986547085201794,0.7738193705861295,0.7786138606190472
1,merge,cleaned,RF,5821.0,5821.0,161.0,0.8040358744394619,0.7819377039684077,0.7867111648758525
1,merge,orig,RF,5982.0,5982.0,0.0,0.8031390134529148,0.7802700138697856,0.7855744527358924
1,daily,cleaned,XGB,251.0,251.0,0.0,0.6774193548387096,0.5880079568059108,0.606660328983378
1,daily,orig,XGB,251.0,251.0,0.0,0.7419354838709677,0.6463411977430669,0.6473943479388126
1,hourly,cleaned,XGB,6390.0,6390.0,176.0,0.7964125560538117,0.7734422982691443,0.7797987909321408
1,hourly,orig,XGB,6566.0,6566.0,0.0,0.7955156950672646,0.7717970709933839,0.7778215943951379
1,merge,cleaned,XGB,5821.0,5821.0,161.0,0.810762331838565,0.789529230033717,0.7946695479643114
1,merge,orig,XGB,5982.0,5982.0,0.0,0.8125560538116592,0.7919109178959808,0.7970462222983058
6,daily,cleaned,LogReg,251.0,251.0,0.0,0.8064516129032258,0.3591745677635248,0.4431818181818182
6,daily,orig,LogReg,251.0,251.0,0.0,0.7849462365591398,0.3495514147688061,0.43560606060606055
6,hourly,cleaned,LogReg,6385.0,6385.0,176.0,0.4498876404494382,0.4130476370987107,0.4765877851844156
6,hourly,orig,LogReg,6561.0,6561.0,0.0,0.44719101123595506,0.4071755474486642,0.472171983783446
6,merge,cleaned,LogReg,5816.0,5816.0,161.0,0.5559550561797753,0.5564973756776849,0.5823517494108469
6,merge,orig,LogReg,5977.0,5977.0,0.0,0.4943820224719101,0.502035336820072,0.5480985619771072
6,N/A,N/A,Naive,,,,0.42112359550561795,0.38094592235888447,0.38094055790152215
6,daily,cleaned,RF,251.0,251.0,0.0,0.946236559139785,0.3241252302025783,0.3333333333333333
6,daily,orig,RF,251.0,251.0,0.0,0.946236559139785,0.3241252302025783,0.3333333333333333
6,hourly,cleaned,RF,6385.0,6385.0,176.0,0.651685393258427,0.6048097492559282,0.616060226336182
6,hourly,orig,RF,6561.0,6561.0,0.0,0.6431460674157303,0.5969501716332073,0.6096134043278743
6,merge,cleaned,RF,5816.0,5816.0,161.0,0.7078651685393258,0.6619297324112635,0.6720820865792113
6,merge,orig,RF,5977.0,5977.0,0.0,0.7092134831460675,0.6754267186171846,0.6824812215131247
6,daily,cleaned,XGB,251.0,251.0,0.0,0.946236559139785,0.3241252302025783,0.3333333333333333
6,daily,orig,XGB,251.0,251.0,0.0,0.9247311827956989,0.3202979515828678,0.32575757575757575
6,hourly,cleaned,XGB,6385.0,6385.0,176.0,0.6098876404494382,0.5794104900932174,0.5911627301127688
6,hourly,orig,XGB,6561.0,6561.0,0.0,0.5959550561797753,0.5590360547503964,0.578548509423804
6,merge,cleaned,XGB,5816.0,5816.0,161.0,0.729438202247191,0.6911348601595759,0.6987791776208807
6,merge,orig,XGB,5977.0,5977.0,0.0,0.7217977528089887,0.6889713432599236,0.6933327651393296
12,daily,cleaned,LogReg,251.0,251.0,0.0,0.5053763440860215,0.4988179669030733,0.5412014885699096
12,daily,orig,LogReg,251.0,251.0,0.0,0.5053763440860215,0.47852188611062535,0.5287081339712919
12,hourly,cleaned,LogReg,6385.0,6385.0,176.0,0.4993240198287517,0.47267454763402167,0.5079710689615836
