h,model,RMSE,MAE,R2
1,LinReg,28.7732880648434,20.015505215738,0.8066767730302968
1,RF,27.36165681060169,18.658563102285562,0.8319604587135525
1,XGB,26.45208161225363,18.437272123449816,0.8425642647689588
6,LinReg,47.75894142224445,35.28173091666082,0.48612215954455407
6,RF,42.965870342676574,31.42948276648361,0.6056418358780375
6,XGB,41.98849615098422,30.702056564921172,0.6230714198044703
12,LinReg,49.25250860961981,35.314161515045214,0.48086545097603284
12,RF,51.404824773115195,38.77007267316594,0.42677357122305776
12,XGB,47.30321124391436,34.871536835216304,0.500889070940714
24,LinReg,57.44907561521488,41.42273761584907,0.21384067296294096
24,RF,64.36153258573276,46.05839272349268,0.123348392511381
24,XGB,60.05605331069355,44.06884409563318,0.18679636778207523
