pollutant,h,fe_type,model,RMSE,MAE,R2
C6H6(GT),1,daily,LinReg,0.13263205218286034,0.12368321515390335,-0.06432786674095126
C6H6(GT),1,daily,RF,0.037130591311858474,0.058647567348619756,-0.022091035630292133
C6H6(GT),1,daily,XGB,0.04054064056871276,0.013309349039549723,-0.025845538793801914
C6H6(GT),1,hourly,LinReg,-0.336833559911653,-0.3821529025415642,0.05893834017729871
C6H6(GT),1,hourly,RF,0.013058209214467542,0.029087877433972453,-0.0018041097348889812
C6H6(GT),1,hourly,XGB,0.0070121947667805,0.024274848402805915,-0.0009441776215005637
C6H6(GT),1,merge,LinReg,-0.011857216486435895,0.008724782732268288,0.0017306362693304544
C6H6(GT),1,merge,RF,0.08745953397345252,0.06760723860166529,-0.010884059196962004
C6H6(GT),1,merge,XGB,0.13869977379228926,0.11276876770802535,-0.016358183741352672
C6H6(GT),6,daily,LinReg,-0.3810489297901456,-0.3930656050193271,0.4758214763423698
C6H6(GT),6,daily,RF,-0.17668871705348677,-0.1621085600369474,0.11950851662459316
C6H6(GT),6,daily,XGB,0.09704677630380987,-0.08910372705869762,-0.08199689977028224
C6H6(GT),6,hourly,LinReg,0.3008700804174387,0.27016004966838025,-0.10238317603152902
C6H6(GT),6,hourly,RF,1.7226952574981569,0.7755263474847522,-0.5451608403130559
C6H6(GT),6,hourly,XGB,0.028834185993567907,0.05667018540114466,-0.007742123522848976
C6H6(GT),6,merge,LinReg,0.18376400289253958,0.19754931623301752,-0.03920788810547071
C6H6(GT),6,merge,RF,0.1515003038888838,0.14552287304830802,-0.027038431665084683
C6H6(GT),6,merge,XGB,0.3688143789193874,0.3274282132680062,-0.06285791975210331
C6H6(GT),12,daily,LinReg,0.1363278948828759,0.11634594285594124,-0.037378099998201075
C6H6(GT),12,daily,RF,0.047355708231943794,0.035988461576316855,-0.012073805942543148
C6H6(GT),12,daily,XGB,-0.2594775202495092,-0.2724805503763177,0.06448046260311002
C6H6(GT),12,hourly,LinReg,0.23860090304699355,0.21623969238649998,-0.06610598569085058
C6H6(GT),12,hourly,RF,-0.03487711428901985,0.04842498662968886,0.010041452643227533
C6H6(GT),12,hourly,XGB,0.10213875610757484,0.09103382897988688,-0.029597541788020765
C6H6(GT),12,merge,LinReg,-0.12508887866195018,0.04534407430864329,0.027075770544906508
