pollutant,h,fe_type,data_ver,model,train_n,train_n_eff,clean_removed,RMSE,MAE,R2
C6H6(GT),1,daily,cleaned,LinReg,252.0,252.0,0.0,2.545233391858324,2.1617927914092423,0.36625603156634157
C6H6(GT),1,daily,orig,LinReg,252.0,252.0,0.0,2.4126013396754638,2.038109576255339,0.4305838983072928
C6H6(GT),1,hourly,cleaned,LinReg,6414.0,6414.0,176.0,3.495600806488365,2.5324697400494576,0.7082313255137045
C6H6(GT),1,hourly,orig,LinReg,6590.0,6590.0,0.0,3.832434366400018,2.9146226425910218,0.6492929853364058
C6H6(GT),1,merge,cleaned,LinReg,5845.0,5845.0,161.0,3.0503859885013425,2.148844862173896,0.7778201877527343
C6H6(GT),1,merge,orig,LinReg,6006.0,6006.0,0.0,3.0622432049877784,2.1401200794416275,0.7760895514834039
C6H6(GT),1,N/A,N/A,Naive,,,,3.6189650922986507,2.1793273542600895,0.6872741449196785
C6H6(GT),1,daily,cleaned,RF,252.0,252.0,0.0,3.0594195164465883,2.630222801166344,0.0843348611896162
C6H6(GT),1,daily,orig,RF,252.0,252.0,0.0,3.02228892513473,2.5715752338177245,0.10642589681990833
C6H6(GT),1,hourly,cleaned,RF,6414.0,6414.0,176.0,2.8995683907426666,1.972394718132011,0.7992471525186009
C6H6(GT),1,hourly,orig,RF,6590.0,6590.0,0.0,2.886510181528199,1.9433068406980385,0.8010512622534899
C6H6(GT),1,merge,cleaned,RF,5845.0,5845.0,161.0,2.6496357320572548,1.825675599331147,0.8323639788030833
C6H6(GT),1,merge,orig,RF,6006.0,6006.0,0.0,2.5621761980838023,1.7580683607294818,0.8432480380000453
C6H6(GT),1,daily,cleaned,XGB,252.0,252.0,0.0,3.2786851489214457,2.674993236347452,-0.05161807365275917
C6H6(GT),1,daily,orig,XGB,252.0,252.0,0.0,3.238144508352733,2.6616838873079023,-0.025772534858957252
C6H6(GT),1,hourly,cleaned,XGB,6414.0,6414.0,176.0,2.823023218680688,1.889981203487889,0.8097065232789574
C6H6(GT),1,hourly,orig,XGB,6590.0,6590.0,0.0,2.8160110239139073,1.865706355085083,0.810650700900458
C6H6(GT),1,merge,cleaned,XGB,5845.0,5845.0,161.0,2.538993766892289,1.7326392159152217,0.8460717719407729
C6H6(GT),1,merge,orig,XGB,6006.0,6006.0,0.0,2.4002939930999996,1.6198704482071964,0.8624299556821255
C6H6(GT),6,daily,cleaned,LinReg,252.0,252.0,0.0,3.8155428925658064,3.357518793274439,-1.268964657754713
C6H6(GT),6,daily,orig,LinReg,252.0,252.0,0.0,4.196591822355952,3.750584398293766,-1.7447861340970827
C6H6(GT),6,hourly,cleaned,LinReg,6409.0,6409.0,176.0,7.290498841165426,6.150215097362023,-0.2665781683799606
C6H6(GT),6,hourly,orig,LinReg,6585.0,6585.0,0.0,6.989628760747987,5.880055047693642,-0.1641949923484316
C6H6(GT),6,merge,cleaned,LinReg,5840.0,5840.0,161.0,4.568659444554595,3.3694971674625878,0.5026122558215973
C6H6(GT),6,merge,orig,LinReg,6001.0,6001.0,0.0,4.384895441662056,3.1719478512295702,0.541820143927068
C6H6(GT),6,N/A,N/A,Naive,,,,8.164513947074457,5.908746203976223,-0.5884669306586381
