pollutant,horizon_h,mode,rmse_baseline_same_subset
C6H6(GT),1,engineered,3.6189650922986507
C6H6(GT),6,engineered,8.164513947074457
C6H6(GT),12,engineered,8.438902585906803
C6H6(GT),24,engineered,5.902668597645588
CO(GT),1,engineered,0.7765282796924261
CO(GT),6,engineered,1.7631696428631327
CO(GT),12,engineered,1.7606160155561386
CO(GT),24,engineered,1.26392738029011
NO2(GT),1,engineered,24.960048819382003
NO2(GT),6,engineered,68.45940002759463
NO2(GT),12,engineered,68.17096946429345
NO2(GT),24,engineered,44.69040087951737
NOx(GT),1,engineered,109.74626074927022
NOx(GT),6,engineered,272.95000455845326
NOx(GT),12,engineered,265.19250199390547
NOx(GT),24,engineered,202.41460811871073
