DateTime,PT08.S1(CO)_mean,PT08.S1(CO)_max,PT08.S2(NMHC)_mean,PT08.S2(NMHC)_max,PT08.S3(NOx)_mean,PT08.S3(NOx)_max,PT08.S4(NO2)_mean,PT08.S4(NO2)_max,PT08.S5(O3)_mean,PT08.S5(O3)_max,T_mean,T_max,RH_mean,RH_max,AH_mean,AH_max,day_of_week,month,is_weekend
2004-03-18,1352.6666666666667,1934.0,1072.5833333333333,1682.0,901.1666666666666,1293.0,1702.8333333333333,2468.0,1301.0,2051.0,17.7625,27.1,44.0875,64.2,0.8260166666666667,0.9606,3,3,0
2004-03-19,1304.2916666666667,1819.0,1058.0,1582.0,913.375,1620.0,1745.4166666666667,2456.0,1095.7916666666667,1716.0,14.191666666666668,16.4,57.90416666666667,71.1,0.9239583333333333,1.0029,4,3,0
2004-03-20,1288.625,1633.0,911.9583333333334,1199.0,968.4583333333334,1317.0,1609.0833333333333,1919.0,1019.0,1442.0,15.862499999999999,19.5,52.18333333333334,59.0,0.9289958333333334,1.0356,5,3,1
2004-03-21,1252.7083333333333,1605.0,870.625,1153.0,975.6666666666666,1300.0,1601.7916666666667,1874.0,954.25,1637.0,17.2125,21.4,52.45416666666667,66.2,1.0063208333333333,1.0868,6,3,1
2004-03-22,1129.3333333333333,1514.0,911.5416666666666,1325.0,1062.25,1813.0,1595.3333333333333,1996.0,857.875,1401.0,17.358333333333334,21.3,44.833333333333336,60.5,0.8579333333333333,1.0919,0,3,0
2004-03-23,1122.1666666666667,1498.0,896.625,1325.0,1073.5416666666667,1908.0,1557.0,2095.0,892.7083333333334,1329.0,12.133333333333333,16.0,60.46666666666667,80.5,0.8424999999999999,0.9483,1,3,0
2004-03-24,1149.0416666666667,1597.0,888.875,1395.0,1040.75,1572.0,1541.625,2080.0,909.9583333333334,1519.0,11.674999999999999,16.9,59.0875,81.1,0.7967083333333332,0.972,2,3,0
2004-03-25,1084.9583333333333,1443.0,859.7083333333334,1418.0,1124.2083333333333,1935.0,1494.6666666666667,2060.0,800.4583333333334,1488.0,11.633333333333333,17.7,58.79583333333333,83.2,0.7820791666666667,0.8695,3,3,0
2004-03-26,1084.7083333333333,1408.0,892.5,1278.0,1032.2083333333333,1449.0,1457.625,1928.0,888.5,1481.0,11.666666666666666,19.2,51.291666666666664,72.4,0.6764916666666667,0.7711,4,3,0
2004-03-27,1095.125,1306.0,873.125,1079.0,1046.0833333333333,1417.0,1425.8333333333333,1633.0,900.75,1286.0,12.583333333333334,19.1,46.541666666666664,66.6,0.64155,0.7326,5,3,1
