DateTime,CO(GT),C6H6(GT),NOx(GT),NO2(GT)
2004-03-18 00:00:00,2.3,13.0,154.0,116.0
2004-03-18 01:00:00,1.4,8.1,92.0,107.0
2004-03-18 02:00:00,1.0,5.5,61.0,88.0
2004-03-18 03:00:00,0.7,3.6,60.5,83.0
2004-03-18 04:00:00,0.6499999999999999,2.9,60.0,78.0
2004-03-18 05:00:00,0.6,2.5,37.0,57.0
2004-03-18 06:00:00,0.7,3.0,68.0,71.0
2004-03-18 07:00:00,1.5,7.7,139.0,85.0
2004-03-18 08:00:00,4.7,23.3,339.0,124.0
2004-03-18 09:00:00,6.6,35.8,421.0,151.0
2004-03-18 10:00:00,4.5,21.3,349.0,150.0
2004-03-18 11:00:00,2.8,14.3,224.0,152.0
2004-03-18 12:00:00,2.2,12.5,171.0,139.0
2004-03-18 13:00:00,2.2,12.2,149.0,133.0
2004-03-18 14:00:00,2.3,13.1,137.0,126.0
2004-03-18 15:00:00,2.2,14.4,149.0,128.0
2004-03-18 16:00:00,2.8,16.8,172.0,169.0
2004-03-18 17:00:00,2.7,14.5,166.0,149.0
2004-03-18 18:00:00,3.7,21.5,214.0,156.0
2004-03-18 19:00:00,5.1,26.4,280.0,168.0
2004-03-18 20:00:00,5.1,26.0,276.0,176.0
2004-03-18 21:00:00,3.2,14.1,178.0,135.0
2004-03-18 22:00:00,2.1,10.3,129.0,121.0
2004-03-18 23:00:00,1.7,8.3,95.0,99.0
2004-03-19 00:00:00,2.0,8.9,126.0,106.0
2004-03-19 01:00:00,1.6,6.6,103.0,96.0
2004-03-19 02:00:00,0.9,3.6,48.0,63.0
2004-03-19 03:00:00,0.7,2.5,34.0,47.5
2004-03-19 04:00:00,0.6,1.8,20.0,32.0
2004-03-19 05:00:00,0.5,1.3,18.0,28.0
2004-03-19 06:00:00,0.7,2.3,56.0,61.0
2004-03-19 07:00:00,1.5,6.7,115.0,99.0
2004-03-19 08:00:00,4.8,22.8,320.0,157.0
2004-03-19 09:00:00,6.2,31.3,357.0,166.0
2004-03-19 10:00:00,4.0,19.2,253.0,149.0
2004-03-19 11:00:00,3.3,16.4,218.0,135.0
2004-03-19 12:00:00,2.8,14.0,192.0,127.0
2004-03-19 13:00:00,3.0,15.3,176.0,122.0
2004-03-19 14:00:00,3.3,16.7,198.0,135.0
2004-03-19 15:00:00,3.5,19.0,212.0,139.0
2004-03-19 16:00:00,4.0,19.4,249.0,147.0
2004-03-19 17:00:00,4.6,20.9,270.0,158.0
2004-03-19 18:00:00,4.1,20.2,231.0,146.0
2004-03-19 19:00:00,4.5,21.7,251.0,144.0
2004-03-19 20:00:00,3.9,19.8,210.0,138.0
2004-03-19 21:00:00,4.0,16.7,249.0,143.0
2004-03-19 22:00:00,2.2,9.1,143.0,116.0
2004-03-19 23:00:00,2.1,8.3,127.0,109.0
2004-03-20 00:00:00,1.7,5.8,104.0,92.0
2004-03-20 01:00:00,1.6,5.2,86.0,83.0
2004-03-20 02:00:00,1.3,4.1,74.0,81.0
2004-03-20 03:00:00,1.3,3.4,59.0,68.0
2004-03-20 04:00:00,1.05,2.9,44.0,55.0
2004-03-20 05:00:00,0.8,3.1,42.0,53.0
2004-03-20 06:00:00,0.8,2.5,63.0,67.0
2004-03-20 07:00:00,1.1,4.3,115.0,91.0
2004-03-20 08:00:00,2.1,8.9,170.0,113.0
2004-03-20 09:00:00,2.4,10.5,147.0,102.0
2004-03-20 10:00:00,2.6,12.5,166.0,107.0
